text,sentiment
Agar main jaa raha hota toh zaroor reply karta.,neutral
"Bahut dukh ho raha hai, main tumhe San Diego mein miss karunga!!!",negative
Mera boss mujhe tang kar raha hai...,negative
Kaunsa interview! mujhe akela chhod do.,negative
Subah 2 baje baby ko feed karna mazaa aata hai jab wo muskurata aur goos goos karta hai.,positive
Bahut zyada high hoon.,neutral
Tum dono.,neutral
Journey!? Wow... tum aur bhi cool ho gaye. hehe... (kya yeh possible hai!?),positive
"Jitna main hopeful rehna chahta hoon, chances kam lagte hain =P mujhe kabhi apna cake aur cheezein nahi milengi.",neutral
Mujhe Taylor Swift ka gaana Love Story bahut pasand hai.,positive
"Mera Sharpie ink khatam hone ke kareeb hai, DANGERously.",negative
Aaj raat ko music ke liye jaana chahta hoon lekin meri awaaz chali gayi hai.,negative
LG enV2 se test test.,neutral
"Uh oh, main sunburned ho gaya hoon.",negative
"Theek hai, alternative sochne ki koshish kar raha hoon sigh",negative
Main kuch din se bimaar hoon isliye mere baal ajeeb lag rahe hain. Agar main ne hat nahi pehni hoti toh yeh dikhte... [link],negative
"Ab wapas ghar aa gaya hoon, sabko miss karunga.",negative
Woh bas tum mein interested nahi hai.,neutral
"Oh Marly, mujhe bahut afsos hai!! Mujhe umeed hai tumhe woh jald mil jayegi!! <3 <3",neutral
Ghost Online khelna bahut interesting hai. Naye updates mein Kirin pet aur Metamorph for third job hain. Dragon pet lene ke liye intzaar nahi ho raha.,positive
Apne ghar ki safai kar rahi hoon kyunki aaj shaam ko family aa rahi hai..,neutral
Mera computer restart karna padega.. Maine socha tha Win7 constant reboot problem khatam kar dega.,neutral
Dekho mera matlab FoLL0w fRiiDaYs ke baare mein... Isko LoSe f0LloWeRs FridAy kehte hain... smH,neutral
"Mere ipod par free fillin` app mazedar hai, main addicted ho gaya hoon.",positive
Mujhe maaf karo.,negative
Malaysia ke raste mein hoon... Twit par internet access nahi hai.,negative
"Berkeley se abhi abhi wapas aaya hoon; omg wahaan bahut mazaa aaya, ek minute ke liye bhi bahar nahi gaya tha. kya chal raha hai?",positive
